Fecha,TCN
01-01-1996,408.53
01-02-1996,410.97
01-03-1996,411.55
01-04-1996,408.42
01-05-1996,406.23
01-06-1996,409.85
01-07-1996,410.72
01-08-1996,411.1
01-09-1996,411.84
01-10-1996,415.55
01-11-1996,420.03
01-12-1996,422.41
01-01-1997,423.79
01-02-1997,416.19
01-03-1997,414.05
01-04-1997,417.58
01-05-1997,418.61
01-06-1997,417.42
01-07-1997,416.61
01-08-1997,414.85
01-09-1997,414.9
01-10-1997,414.41
01-11-1997,424.96
01-12-1997,438.29
01-01-1998,453.39
01-02-1998,448.53
01-03-1998,452.53
01-04-1998,453.74
01-05-1998,453.42
01-06-1998,456.19
01-07-1998,464.64
01-08-1998,471.26
01-09-1998,470.5
01-10-1998,463.6
01-11-1998,463.26
01-12-1998,472.39
01-01-1999,475.68
01-02-1999,493.45
01-03-1999,492.48
01-04-1999,482.33
01-05-1999,485.04
01-06-1999,502.17
01-07-1999,516.74
01-08-1999,513.03
01-09-1999,524.55
01-10-1999,537.97
01-11-1999,543.71
01-12-1999,538.22
01-01-2000,520.45
01-02-2000,512.85
01-03-2000,504.38
01-04-2000,508.1
01-05-2000,521.66
01-06-2000,529.74
01-07-2000,542.75
01-08-2000,550.99
01-09-2000,565.9
01-10-2000,567.84
01-11-2000,574.6
01-12-2000,574.63
01-01-2001,571.12
01-02-2001,563.13
01-03-2001,587.79
01-04-2001,598.63
01-05-2001,604.48
01-06-2001,616.07
01-07-2001,656.46
01-08-2001,673.7
01-09-2001,681.24
01-10-2001,708.1
01-11-2001,689.4
01-12-2001,669.14
01-01-2002,667.28
01-02-2002,678.84
01-03-2002,663.26
01-04-2002,650.82
01-05-2002,653.91
01-06-2002,673.77
01-07-2002,696.33
01-08-2002,702.3
01-09-2002,726.98
01-10-2002,742.32
01-11-2002,709.48
01-12-2002,701.95
01-01-2003,722.48
01-02-2003,745.21
01-03-2003,743.28
01-04-2003,718.25
01-05-2003,703.58
01-06-2003,709.18
01-07-2003,701.14
01-08-2003,703.77
01-09-2003,675.44
01-10-2003,646.07
01-11-2003,625.47
01-12-2003,602.9
01-01-2004,573.64
01-02-2004,584.31
01-03-2004,603.91
01-04-2004,608.19
01-05-2004,635.76
01-06-2004,643.5
01-07-2004,632.39
01-08-2004,635.93
01-09-2004,616.55
01-10-2004,607.28
01-11-2004,596.72
01-12-2004,576.17
01-01-2005,574.12
01-02-2005,573.58
01-03-2005,586.48
01-04-2005,580.46
01-05-2005,578.31
01-06-2005,585.47
01-07-2005,575.77
01-08-2005,546.61
01-09-2005,536.7
01-10-2005,535.5
01-11-2005,529.88
01-12-2005,514.33
01-01-2006,524.48
01-02-2006,525.7
01-03-2006,528.77
01-04-2006,517.33
01-05-2006,520.79
01-06-2006,542.46
01-07-2006,540.62
01-08-2006,538.53
01-09-2006,538.65
01-10-2006,530.95
01-11-2006,527.44
01-12-2006,527.58
01-01-2007,540.51
01-02-2007,542.27
01-03-2007,538.49
01-04-2007,532.3
01-05-2007,522.02
01-06-2007,526.72
01-07-2007,519.8
01-08-2007,522.92
01-09-2007,516.91
01-10-2007,501.44
01-11-2007,506.95
01-12-2007,499.28
01-01-2008,480.9
01-02-2008,467.22
01-03-2008,442.94
01-04-2008,446.43
01-05-2008,470.1
01-06-2008,493.61
01-07-2008,502.24
01-08-2008,516.7
01-09-2008,530.17
01-10-2008,618.39
01-11-2008,651.51
01-12-2008,649.32
01-01-2009,623.01
01-02-2009,606
01-03-2009,592.93
01-04-2009,583.18
01-05-2009,565.72
01-06-2009,553.08
01-07-2009,540.42
01-08-2009,546.88
01-09-2009,549.07
01-10-2009,545.83
01-11-2009,507.78
01-12-2009,501.45
01-01-2010,500.66
01-02-2010,532.56
01-03-2010,523.16
01-04-2010,520.62
01-05-2010,533.21
01-06-2010,536.67
01-07-2010,531.72
01-08-2010,509.32
01-09-2010,493.93
01-10-2010,484.04
01-11-2010,482.32
01-12-2010,474.78
01-01-2011,489.44
01-02-2011,475.69
01-03-2011,479.65
01-04-2011,471.32
01-05-2011,467.73
01-06-2011,469.41
01-07-2011,462.94
01-08-2011,466.79
01-09-2011,483.69
01-10-2011,511.74
01-11-2011,508.44
01-12-2011,517.17
01-01-2012,501.34
01-02-2012,481.49
01-03-2012,485.4
01-04-2012,486
01-05-2012,497.09
01-06-2012,505.63
01-07-2012,491.93
01-08-2012,480.99
01-09-2012,474.97
01-10-2012,475.36
01-11-2012,480.57
01-12-2012,477.13
01-01-2013,472.67
01-02-2013,472.34
01-03-2013,472.48
01-04-2013,472.14
01-05-2013,479.58
01-06-2013,502.89
01-07-2013,504.96
01-08-2013,512.59
01-09-2013,504.57
01-10-2013,500.81
01-11-2013,519.25
01-12-2013,529.45
01-01-2014,537.03
01-02-2014,554.41
01-03-2014,563.84
01-04-2014,554.64
01-05-2014,555.4
01-06-2014,553.06
01-07-2014,558.21
01-08-2014,579.05
01-09-2014,593.47
01-10-2014,589.98
01-11-2014,592.46
01-12-2014,612.92
01-01-2015,620.91
01-02-2015,623.62
01-03-2015,628.5
01-04-2015,614.73
01-05-2015,607.6
01-06-2015,629.99
01-07-2015,650.14
01-08-2015,688.12
01-09-2015,691.73
01-10-2015,685.31
01-11-2015,704
01-12-2015,704.24
01-01-2016,721.95
01-02-2016,704.08
01-03-2016,682.07
01-04-2016,669.93
01-05-2016,681.87
01-06-2016,681.07
01-07-2016,657.57
01-08-2016,658.89
01-09-2016,668.63
01-10-2016,663.92
01-11-2016,666.12
01-12-2016,667.17
01-01-2017,661.19
01-02-2017,643.21
01-03-2017,661.2
01-04-2017,655.74
01-05-2017,671.54
01-06-2017,665.15
01-07-2017,658.17
01-08-2017,644.24
01-09-2017,625.54
01-10-2017,629.55
01-11-2017,633.77
01-12-2017,636.92
01-01-2018,605.53
01-02-2018,596.84
01-03-2018,603.45
01-04-2018,600.55
01-05-2018,626.12
01-06-2018,636.15
01-07-2018,652.41
01-08-2018,656.25
01-09-2018,680.91
01-10-2018,676.84
01-11-2018,677.61
01-12-2018,681.99
01-01-2019,677.06
01-02-2019,656.3
01-03-2019,667.68
01-04-2019,667.4
01-05-2019,692
01-06-2019,692.41
01-07-2019,686.06
01-08-2019,713.7
01-09-2019,718.44
01-10-2019,721.03
01-11-2019,776.53
01-12-2019,770.39
01-01-2020,772.65
01-02-2020,796.38
01-03-2020,839.38
01-04-2020,853.38
01-05-2020,821.81
01-06-2020,793.72
01-07-2020,784.73
01-08-2020,784.66
01-09-2020,773.4
01-10-2020,788.27
01-11-2020,762.88
01-12-2020,734.73
01-01-2021,723.56
01-02-2021,722.63
01-03-2021,726.37
01-04-2021,707.85
01-05-2021,712.26
01-06-2021,726.54
01-07-2021,750.44
01-08-2021,779.83
01-09-2021,783.63
01-10-2021,813.95
